Text Analysis for files: cleanfile.in

word                 frequency
----                 ---------
I                            1
Some                         1
a                            2
and                          1
are                          2
brown                        1
cream                        1
days                         2
dog                          1
especially                   1
fox                          1
having                       1
ice                          1
idea                         1
in                           1
jumps                        1
lazy                         1
like                         1
of                           1
other                        1
over                         1
quick                        1
rainy                        1
sun                          1
sunny                        1
the                          2
when                         1

Number of words: 31
Vocabulary size: 27
